C_tot_uM	K_d_uM	theta	C_avail_uM	c_free_uM	folding_arm_saturation	headroom_P	margin_log10	collapsed
30.0	0.06	0.0	30.0	4.651779919273401	0.9872659587187907	25.14373608192722	1.4004298095158785	False
30.0	0.06	0.5	15.0	2.3013419789324496	0.9745907197960688	24.83027050913835	1.3949814509273453	False
30.0	0.06	0.8	5.999999999999998	0.8911246306974177	0.9369167845479884	19.257917022823392	1.2846093111158745	False
30.0	0.06	0.9	2.999999999999999	0.4211349912543788	0.8752948733918259	13.447265204752815	1.1286339700447587	False
30.0	0.06	0.95	1.500000000000001	0.1863273582388662	0.7564216966033575	9.02943183340678	0.9556604236934222	False
30.0	0.06	0.98	0.6000000000000005	0.0464505867776272	0.4363582032164975	4.2080994688241535	0.624085996889716	False
30.0	0.06	0.99	0.3000000000000002					True
30.0	1.0	0.0	30.0	22.44056918135248	0.957338919875908	24.40361364688	1.3874541407115852	False
30.0	1.0	0.5	15.0	11.102179950664318	0.9173702585751828	23.415090820305466	1.3694958466229468	False
30.0	1.0	0.8	5.999999999999998	4.299888593237748	0.8113167885687402	17.469101936064288	1.2422705790392088	False
30.0	1.0	0.9	2.999999999999999	2.0337725217799183	0.6703773955295439	11.27489948887809	1.0521126790094055	False
30.0	1.0	0.95	1.500000000000001	0.9034358899020614	0.4746342625432719	6.702744740307459	0.8262526805325016	False
30.0	1.0	0.98	0.6000000000000005	0.232910365041555	0.1889110284458553	2.5477086248363934	0.406149757312596	False
30.0	1.0	0.99	0.3000000000000002					True
30.0	2.0	0.0	30.0	25.560260120780544	0.9274317444307428	23.663943356616866	1.3740871171016773	False
30.0	2.0	0.5	15.0	12.645986101327187	0.8634438141506384	22.08121931386516	1.3440230512429665	False
30.0	2.0	0.8	5.999999999999998	4.898872658801211	0.710097562469354	15.988444047312235	1.2038062014231563	False
30.0	2.0	0.9	2.999999999999999	2.318974650729864	0.5369271269832483	9.791634946472223	0.9908552136568732	False
30.0	2.0	0.95	1.500000000000001	1.0335172891969688	0.3406993238105332	5.506559679398308	0.7408803504139162	False
30.0	2.0	0.98	0.6000000000000005	0.2611915876711918	0.1155105958713537	1.876426781872136	0.2733316229194813	False
30.0	2.0	0.99	0.3000000000000002					True
50.0	0.06	0.0	50.0	7.785714090109015	0.992352512555149	25.26952760548919	1.402597123192295	False
50.0	0.06	0.5	25.0	3.868298175089543	0.9847262103522392	25.080927217535127	1.3993435879009233	False
50.0	0.06	0.8	9.999999999999998	1.5178750339885738	0.961974174945698	24.51825006911811	1.3894894702327505	False
50.0	0.06	0.9	4.999999999999999	0.7344470645317437	0.9244757735553286	17.552271809660628	1.2443333356477806	False
50.0	0.06	0.95	2.500000000000002	0.3428300885671175	0.851053827152231	12.179236756839112	1.085620072970158	False
50.0	0.06	0.98	1.0000000000000009	0.1082759281958084	0.6434427630660098	6.822323187045956	0.8339322889538324	False
50.0	0.06	0.99	0.5000000000000004	0.0313791140699381	0.3433948160837032	3.280549028358876	0.5159465327461468	False
50.0	1.0	0.0	50.0	37.558701150173626	0.9740655164678572	24.817281807890478	1.394754212276315	False
50.0	1.0	0.5	25.0	18.66106597814061	0.94913805786971	24.20079240694785	1.3838295863246777	False
50.0	1.0	0.8	9.999999999999998	7.322920127180565	0.8798498622215234	22.487042347049524	1.3519323377466692	False
50.0	1.0	0.9	4.999999999999999	3.544291846397853	0.7799437109672709	15.654579459380312	1.194641405333726	False
50.0	1.0	0.95	2.500000000000002	1.6564938770017112	0.6235639733042924	9.932224319275232	0.9970465195336832	False
50.0	1.0	0.98	1.0000000000000009	0.5292350015174742	0.3460782685410086	4.639614358231863	0.666481883776389	False
50.0	1.0	0.99	0.5000000000000004	0.1565371298150675	0.135349852399549	1.85065071652766	0.2673244597045097	False
50.0	2.0	0.0	50.0	42.7798464539462	0.9553370509642792	24.354104305221156	1.3865721617274125	False
50.0	2.0	0.5	25.0	21.25542270999949	0.9139985531572372	23.33169663455156	1.3679463209725853	False
50.0	2.0	0.8	9.999999999999998	8.34162816820191	0.8066068546005615	20.675131876687903	1.3154482883883176	False
50.0	2.0	0.9	4.999999999999999	4.038491833475857	0.6687914705932844	14.148676809414669	1.1507158263451256	False
50.0	2.0	0.95	2.500000000000002	1.889715338400989	0.4858235562239951	8.495953542781594	0.9292121289529351	False
50.0	2.0	0.98	1.0000000000000009	0.6079306305089468	0.2331084360132336	3.710405680741588	0.5694213962122056	False
50.0	2.0	0.99	0.5000000000000004					True
80.0	0.06	0.0	80.0	12.486622038054694	0.9952178363373012	25.340387232377047	1.4038132471535636	False
80.0	0.06	0.5	40.0	6.218746109326801	0.990443951872672	25.222328619983927	1.4017851797836216	False
80.0	0.06	0.8	15.999999999999996	2.4580367711969004	0.9761719127034508	24.869374616349344	1.3956648643176457	False
80.0	0.06	0.9	7.999999999999998	1.2044949257873276	0.9525502247763932	22.26458411726397	1.347614587306261	False
80.0	0.06	0.95	4.000000000000004	0.5777799915318685	0.9059236714907168	15.647558954930616	1.194446596509265	False
80.0	0.06	0.98	1.6000000000000014	0.2019644299882384	0.7709612713348378	9.400474536187806	0.97314977734928	False
80.0	0.06	0.99	0.8000000000000007	0.0772097055762123	0.5627131495689031	5.669474039252366	0.7535427709836494	False
80.0	1.0	0.0	80.0	60.23601013807531	0.9836697394597528	25.05480025244304	1.3988909447114006	False
80.0	1.0	0.5	40.0	29.999620320372383	0.96774154039097	24.66088390755766	1.392008638735592	False
80.0	1.0	0.8	15.999999999999996	11.858054924752327	0.9222277392768828	23.53523241785144	1.371718491458933	False
80.0	1.0	0.9	7.999999999999998	5.8113250073439735	0.8531856872309279	20.648359040140665	1.31488554325008	False
80.0	1.0	0.95	4.000000000000004	2.788861047104368	0.7360684417909048	13.621769377516216	1.1342335232142478	False
80.0	1.0	0.98	1.6000000000000014	0.978567972721508	0.4945839547657763	7.070182066488481	0.8494305975950881	False
80.0	1.0	0.99	0.8000000000000007	0.3807750377532402	0.2757690625497018	3.6688949987131663	0.5645352827202433	False
80.0	2.0	0.0	80.0	68.60944697574577	0.9716751782422683	24.758166679836624	1.3937184824196165	False
80.0	2.0	0.5	40.0	34.170023764231125	0.9447055934207648	24.09116877318553	1.3818578701283586	False
80.0	2.0	0.8	15.999999999999996	13.506902859740212	0.8710251803284007	22.26875564066172	1.3476959497016223	False
80.0	2.0	0.9	7.999999999999998	6.620097285506675	0.767984057052038	19.233737364600053	1.2840636814884083	False
80.0	2.0	0.95	4.000000000000004	3.1784217245741457	0.6137819385182515	12.107195358175924	1.0830435501176965	False
80.0	2.0	0.98	1.6000000000000014	1.118897045140549	0.3587476691107408	5.835933235385539	0.7661103148064887	False
80.0	2.0	0.99	0.8000000000000007	0.4377057435177494	0.1795564311573204	2.8838530300982703	0.4599731236466496	False
