n	c0	c1	abs_c1	tr_J	det_J	lambda_zero_abs	min_abs_re_rest	max_abs_im_rest	eigs	k_seq	k_rel	q	u	a_r	a_s
3	1.163269633164687e-16	0.03472738119663492	0.03472738119663492	-0.4202081897724406	-1.163269633164687e-16	3.3459268565538884e-15	0.11306621830535123	0.0	[[-3.3459268565538884e-15, 0.0], [-0.11306621830535123, 0.0], [-0.3071419714670859, 0.0]]	0.1	0.01	1.0	0.49752408158563877	0.27183209459318736	1.4049450872771583
3	1.0476298860643967e-15	0.03472738119664191	0.03472738119664191	-0.420208189772491	-1.0476298860643967e-15	3.016425559395114e-14	0.11306621830531549	0.0	[[-3.016425559395114e-14, 0.0], [-0.11306621830531549, 0.0], [-0.3071419714671453, 0.0]]	0.1	0.01	1.0	0.49752408158570244	0.2718320945926422	1.4049450872728944
3	3.007085736732214e-15	0.036746694139369436	0.036746694139369436	-0.4264165898750263	-3.007085736732214e-15	8.184488402928875e-14	0.11987511278444783	0.0	[[-8.184488402928875e-14, 0.0], [-0.11987511278444783, 0.0], [-0.30654147709049695, 0.0]]	0.1	0.01	1.0	0.5386663145821942	0.3143876246440596	1.0085585864272983
3	1.3503237335868773e-16	0.036746694139202375	0.036746694139202375	-0.4264165898744018	-1.3503237335868773e-16	3.671393632280526e-15	0.11987511278408228	0.0	[[-3.671393632280526e-15, 0.0], [-0.11987511278408228, 0.0], [-0.3065414770903157, 0.0]]	0.1	0.01	1.0	0.5386663145821114	0.3143876246447567	1.0085585864307272
3	-6.411939643373519e-17	0.3062763336019474	0.3062763336019474	-1.2885788056945673	6.411939643373519e-17	2.0886084448964373e-16	0.31439168988255006	0.0	[[2.0886084448964373e-16, 0.0], [-0.31439168988255006, 0.0], [-0.9741871158120162, 0.0]]	1.0	0.01	1.0	0.5554598574983198	0.17013245793241774	14.705572023974218
3	5.829036039420464e-17	0.3062763336016055	0.3062763336016055	-1.288578805694074	-5.829036039420464e-17	1.899263145900109e-16	0.31439168988226646	0.0	[[-1.899263145900109e-16, 0.0], [-0.31439168988226646, 0.0], [-0.9741871158118074, 0.0]]	1.0	0.01	1.0	0.5554598574983733	0.17013245793184173	14.705572023917226
3	5.749549184348943e-16	0.30627633360208834	0.30627633360208834	-1.288578805694629	-5.749549184348943e-16	1.875933289316757e-15	0.3143916898827309	0.0	[[-1.875933289316757e-15, 0.0], [-0.3143916898827309, 0.0], [-0.9741871158118953, 0.0]]	1.0	0.01	1.0	0.5554598574982866	0.17013245793279302	14.705572024011344
3	7.97757350349351e-16	0.30784951569840874	0.30784951569840874	-1.2511313965933453	-7.97757350349351e-16	2.5921380432751985e-15	0.33663157572372765	0.0	[[-2.5921380432751985e-15, 0.0], [-0.33663157572372765, 0.0], [-0.9144998208696148, 0.0]]	1.0	0.01	1.0	0.6632924183598616	0.15593086850732926	11.1232172858194
3	-1.7175818375843898e-15	0.3078495156985139	0.3078495156985139	-1.251131396592498	1.7175818375843898e-15	5.5795391072727786e-15	0.3366315757244166	0.0	[[5.5795391072727786e-15, 0.0], [-0.3366315757244166, 0.0], [-0.9144998208680873, 0.0]]	1.0	0.01	1.0	0.663292418359744	0.15593086850807542	11.123217285891185
3	-2.0848634883846253e-15	0.30784951569801156	0.30784951569801156	-1.2511313965926925	2.0848634883846253e-15	6.767229833911714e-15	0.3366315757234358	0.0	[[6.767229833911714e-15, 0.0], [-0.3366315757234358, 0.0], [-0.9144998208692636, 0.0]]	1.0	0.01	1.0	0.6632924183596721	0.15593086850853116	11.123217285935029
3	1.0010462337148483e-14	0.37300766338765773	0.37300766338765773	-1.4307843095488315	-1.0010462337148483e-14	2.685474063780524e-14	0.34286259658452795	0.0	[[-2.685474063780524e-14, 0.0], [-0.34286259658452795, 0.0], [-1.0879217129642775, 0.0]]	1.0	0.1	1.0	0.4165730755905292	0.2649687793956298	2.6496877939562977
3	5.349606168862847e-15	0.37300766338771285	0.37300766338771285	-1.4307843095488386	-5.349606168862847e-15	1.4324134204498277e-14	0.3428625965846167	0.0	[[-1.4324134204498277e-14, 0.0], [-0.3428625965846167, 0.0], [-1.0879217129642065, 0.0]]	1.0	0.1	1.0	0.4165730755905859	0.2649687793945633	2.649687793945633
3	6.9759741666991035e-15	0.3613210556935532	0.3613210556935532	-1.4006354849249545	-6.9759741666991035e-15	1.9339436572798656e-14	0.34097962214373345	0.0	[[-1.9339436572798656e-14, 0.0], [-0.34097962214373345, 0.0], [-1.0596558627812014, 0.0]]	1.0	0.1	1.0	0.5145850257193347	0.23807873941953214	2.220943229826313
3	5.641923330030921e-15	0.3613210556930999	0.3613210556930999	-1.4006354849252904	-5.641923330030921e-15	1.5595152847729852e-14	0.3409796221429489	0.0	[[-1.5595152847729852e-14, 0.0], [-0.3409796221429489, 0.0], [-1.0596558627823258, 0.0]]	1.0	0.1	1.0	0.5145850257194232	0.2380787394185287	2.2209432298164833
3	-1.0315733379331018e-14	0.3613210556942193	0.3613210556942193	-1.400635484925135	1.0315733379331018e-14	2.854762688653879e-14	0.3409796221446453	0.0	[[2.854762688653879e-14, 0.0], [-0.3409796221446453, 0.0], [-1.0596558627805175, 0.0]]	1.0	0.1	1.0	0.514585025719167	0.23807873942131605	2.220943229843778
3	3.141744052459994e-15	0.3717323925185461	0.3717323925185461	-1.3842998301602614	-3.141744052459994e-15	8.437027115161394e-15	0.36452343198254233	0.0	[[-8.437027115161394e-15, 0.0], [-0.36452343198254233, 0.0], [-1.019776398177711, 0.0]]	1.0	0.1	1.0	0.5878491453690471	0.24510233624962582	2.1427748626968808
3	-2.406740029126593e-14	0.3717323925178909	0.3717323925178909	-1.3842998301580394	2.406740029126593e-14	6.475657986976705e-14	0.3645234319828925	0.0	[[6.475657986976705e-14, 0.0], [-0.3645234319828925, 0.0], [-1.0197763981752124, 0.0]]	1.0	0.1	1.0	0.5878491453686432	0.24510233625242767	2.142774862723688
3	3.252742690263258e-14	0.37173239251926704	0.37173239251926704	-1.3842998301600555	-3.252742690263258e-14	8.756234482086994e-14	0.36452343198363396	0.0	[[-8.756234482086994e-14, 0.0], [-0.36452343198363396, 0.0], [-1.0197763981763348, 0.0]]	1.0	0.1	1.0	0.5878491453687482	0.2451023362519241	2.1427748627188423
3	-4.717465757391229e-15	3.4323707552941887	3.4323707552941887	-10.430784309545647	4.717465757391229e-15	1.3762289429096135e-15	0.34015425567787666	0.0	[[1.3762289429096135e-15, 0.0], [-0.34015425567787666, 0.0], [-10.090630053867768, 0.0]]	10.0	0.1	1.0	0.4165730755901018	0.2649687793984133	26.496877939841315
3	1.4852752034948666e-14	3.0587111435175705	3.0587111435175705	-10.37842334419878	-1.4852752034948666e-14	4.844543398251646e-15	0.303599465391307	0.0	[[-4.844543398251646e-15, 0.0], [-0.303599465391307, 0.0], [-10.074823878807473, 0.0]]	10.0	0.1	1.0	0.5569935943930746	0.1647815987230496	16.245646356924567
3	-1.262273544040004e-15	3.058711143501196	3.058711143501196	-10.378423344194522	1.262273544040004e-15	4.1571583198935006e-16	0.3035994653897687	0.0	[[4.1571583198935006e-16, 0.0], [-0.3035994653897687, 0.0], [-10.074823878804741, 0.0]]	10.0	0.1	1.0	0.5569935943936082	0.16478159871742026	16.24564635636206
3	-1.3338023781962967e-14	3.058711143487217	3.058711143487217	-10.378423344203222	1.3338023781962967e-14	4.41959112554355e-15	0.3035994653880716	0.0	[[4.41959112554355e-15, 0.0], [-0.3035994653880716, 0.0], [-10.074823878815158, 0.0]]	10.0	0.1	1.0	0.556993594393967	0.16478159871346518	16.245646355966972
3	-6.951577579835314e-15	3.039170645111899	3.039170645111899	-10.33963827331347	6.951577579835314e-15	2.2854210804356466e-15	0.3028016453556952	0.0	[[2.2854210804356466e-15, 0.0], [-0.3028016453556952, 0.0], [-10.03683662795778, 0.0]]	10.0	0.1	1.0	0.6727008453504988	0.1325377479837295	12.80004252541595
3	2.8183203079321116e-14	3.039170645072107	3.039170645072107	-10.339638273302942	-2.8183203079321116e-14	9.290044479110369e-15	0.30280164535192283	0.0	[[-9.290044479110369e-15, 0.0], [-0.30280164535192283, 0.0], [-10.036836627951006, 0.0]]	10.0	0.1	1.0	0.6727008453523131	0.13253774797220153	12.80004252426655
3	-1.0762382156760658e-14	3.0391706451198464	3.0391706451198464	-10.339638273310557	1.0762382156760658e-14	3.538255142440522e-15	0.3028016453566035	0.0	[[3.538255142440522e-15, 0.0], [-0.3028016453566035, 0.0], [-10.03683662795396, 0.0]]	10.0	0.1	1.0	0.6727008453503274	0.13253774798512027	12.800042525554586
3	1.1855446156181773e-15	0.021321969855161684	0.021321969855161684	-0.3937780654274662	-1.1855446156181773e-15	5.559968238867973e-14	0.0648158660680967	0.0	[[-5.559968238867973e-14, 0.0], [-0.0648158660680967, 0.0], [-0.32896219935931365, 0.0]]	0.1	0.01	2.0	0.41657307559062395	0.264968779393868	0.7020845405347227
3	-1.415195658474316e-15	0.025438388496207966	0.025438388496207966	-0.4103220274408828	1.415195658474316e-15	5.563993042177424e-14	0.07611585474664431	0.0	[[5.563993042177424e-14, 0.0], [-0.07611585474664431, 0.0], [-0.3342061726942943, 0.0]]	0.1	0.01	2.0	0.46305776798468573	0.3259341776819082	0.4333347372793284
3	-2.1111129358057575e-15	0.025438388496206613	0.025438388496206613	-0.41032202743982116	2.1111129358057575e-15	8.298596457219134e-14	0.07611585474698755	0.0	[[8.298596457219134e-14, 0.0], [-0.07611585474698755, 0.0], [-0.33420617269291664, 0.0]]	0.1	0.01	2.0	0.46305776798452386	0.32593417768356703	0.43333473728407795
3	4.078404997719146e-16	0.025438388496106978	0.025438388496106978	-0.4103220274394085	-4.078404997719146e-16	1.603583886398578e-14	0.0761158547465949	0.0	[[-1.603583886398578e-14, 0.0], [-0.0761158547465949, 0.0], [-0.33420617269279723, 0.0]]	0.1	0.01	2.0	0.46305776798483567	0.325934177680168	0.4333347372736362
3	-3.551415545119941e-15	0.0329254543542749	0.0329254543542749	-0.4389576112696082	3.551415545119941e-15	1.0788240723121848e-13	0.09600616992725865	0.0	[[1.0788240723121848e-13, 0.0], [-0.09600616992725865, 0.0], [-0.3429514413424574, 0.0]]	0.1	0.01	2.0	0.49184077219976435	0.3733301275050567	0.35708219070313535
3	1.5841852397849907e-15	0.03292545435418705	0.03292545435418705	-0.4389576112689724	-1.5841852397849907e-15	4.810539987187834e-14	0.09600616992693346	0.0	[[-4.810539987187834e-14, 0.0], [-0.09600616992693346, 0.0], [-0.342951441341991, 0.0]]	0.1	0.01	2.0	0.4918407721996588	0.3733301275063523	0.3570821907057748
3	-7.172535240844727e-16	0.03292545435450641	0.03292545435450641	-0.438957611270266	7.172535240844727e-16	2.179711218377317e-14	0.09600616992782086	0.0	[[2.179711218377317e-14, 0.0], [-0.09600616992782086, 0.0], [-0.34295144134246686, 0.0]]	0.1	0.01	2.0	0.49184077219963046	0.3733301275066256	0.3570821907064344
3	-5.312745217686485e-16	0.17365925778579644	0.17365925778579644	-0.819571124346983	5.312745217686485e-16	3.057805267415535e-15	0.40978556217349327	0.07573011831466547	[[3.057805267415535e-15, 0.0], [-0.40978556217349327, 0.07573011831466547], [-0.40978556217349327, -0.07573011831466547]]	1.0	0.01	2.0	0.5241211895576068	0.26118044680809976	4.845628095524157
3	-1.7389687507773344e-15	0.1736592577857301	0.1736592577857301	-0.8195711243474384	1.7389687507773344e-15	1.0009622349803641e-14	0.4097855621737244	0.07573011831301417	[[1.0009622349803641e-14, 0.0], [-0.4097855621737244, 0.07573011831301417], [-0.4097855621737244, -0.07573011831301417]]	1.0	0.01	2.0	0.524121189557609	0.2611804468080698	4.84562809552252
3	-5.217214416181536e-16	0.17365925778509983	0.17365925778509983	-0.8195711243453426	5.217214416181536e-16	2.998585717774071e-15	0.4097855621726728	0.07573011831450466	[[2.998585717774071e-15, 0.0], [-0.4097855621726728, 0.07573011831450466], [-0.4097855621726728, -0.07573011831450466]]	1.0	0.01	2.0	0.5241211895576706	0.2611804468074567	4.8456280954928515
