name	ok	n_candidates	n_polished	n_max	n_min	has_both	j_at_max	j_at_min	orient_agree	orient_n	group
draw60	True	3	3	2	1	True	0.003978080868860331	0.0034807396559569156	3	3	d2R>0
draw222	True	2	2	1	1	True	0.06811629880087805	0.051076677901316106	2	2	d2R>0
draw374	True	2	2	1	1	True	0.03716523077601893	0.035742188088301596	2	2	d2R>0
draw455	True	3	3	2	1	True	0.36420381887372394	0.2874486887815737	3	3	d2R>0
draw626	True	2	2	1	1	True	0.10187564709602866	0.09878369208759033	2	2	d2R>0
draw878	True	2	2	1	1	True	0.18582339997805575	0.18564847988284802	2	2	d2R>0
draw984	True	2	2	1	1	True	0.032202467340692674	0.030870768894722667	2	2	d2R>0
draw1093	True	2	2	1	1	True	0.10164053353891282	0.09094149519276072	2	2	d2R>0
draw1151	True	2	2	1	1	True	0.005592362034225801	0.005208654448574127	2	2	d2R>0
draw1357	True	2	2	1	1	True	0.06507286951480301	0.06413045242282527	2	2	d2R>0
draw1396	True	2	2	1	1	True	0.2757521875975924	0.1749465423442823	2	2	d2R>0
draw1466	True	2	2	1	1	True	0.009400988453878949	0.00930661971657258	2	2	d2R>0
draw1968	True	2	2	1	1	True	0.15910605491045227	0.1430214108630997	2	2	d2R>0
draw2168	True	2	2	1	1	True	0.006972466085567296	0.0059318993188962384	2	2	d2R>0
draw2476	True	2	2	1	1	True	0.056270354447179816	0.048340184428963394	2	2	d2R>0
draw2752	True	2	2	1	1	True	0.04134849890820459	0.03838071193641715	2	2	d2R>0
draw2761	True	2	2	1	1	True	0.061456758916730365	0.06040859247948768	2	2	d2R>0
draw2795	True	2	2	1	1	True	0.023041767957973143	0.02273224987767048	2	2	d2R>0
draw3413	True	2	2	1	1	True	0.10559989155150758	0.07733958294906505	2	2	d2R>0
draw4379	True	2	2	1	1	True	0.19735334868415846	0.11826543300881515	2	2	d2R>0
draw4435	True	2	2	1	1	True	0.15571202561657035	0.11951397190064811	2	2	d2R>0
draw4608	True	2	2	1	1	True	0.0350724735266239	0.031960918072065435	2	2	d2R>0
draw4708	True	2	2	1	1	True	0.05018826698259549	0.03999430425415	2	2	d2R>0
draw4788	True	2	2	1	1	True	0.40897728922097837	0.3953323005647055	2	2	d2R>0
draw4849	True	2	2	1	1	True	0.0041552686750634185	0.004094779580720912	2	2	d2R>0
draw4976	True	2	2	1	1	True	0.05301239141901778	0.052763860275408636	2	2	d2R>0
draw2	True	1	1	1	0	False	0.23898191170949082		1	1	d2R<0
draw42	True	1	1	1	0	False	0.17068388540087115		1	1	d2R<0
draw73	True	1	1	1	0	False	0.6576187964148991		1	1	d2R<0
draw111	True	1	1	1	0	False	0.1654164332817344		1	1	d2R<0
draw142	True	3	3	2	1	True	0.3153873721997499	0.0723149185742141	3	3	d2R<0
draw174	True	1	1	1	0	False	0.23181787693872483		1	1	d2R<0
draw206	True	1	1	1	0	False	0.2669416607990381		1	1	d2R<0
draw244	True	1	1	1	0	False	0.1453705769671653		1	1	d2R<0
draw280	True	1	1	1	0	False	0.4203819505677516		1	1	d2R<0
draw308	True	1	1	1	0	False	1.2339410405093694		1	1	d2R<0
draw344	True	1	1	1	0	False	1.3777857048991113		1	1	d2R<0
draw376	True	1	1	1	0	False	0.3903276719790195		1	1	d2R<0
draw413	True	1	1	1	0	False	0.5513219476490537		1	1	d2R<0
draw443	True	1	1	1	0	False	0.094913912184973		1	1	d2R<0
draw470	True	1	1	1	0	False	0.2818248899860595		1	1	d2R<0
draw507	True	1	1	1	0	False	0.06668358985278898		1	1	d2R<0
draw537	True	1	1	1	0	False	0.7250955836815198		1	1	d2R<0
draw580	True	1	1	1	0	False	2.318228293517521		1	1	d2R<0
draw607	True	1	1	1	0	False	0.3745959283735535		1	1	d2R<0
draw645	True	1	1	1	0	False	0.2891482967926565		1	1	d2R<0
draw682	True	1	1	1	0	False	0.6417119275363872		1	1	d2R<0
draw721	True	1	1	1	0	False	0.014472352320490926		1	1	d2R<0
draw755	True	1	1	1	0	False	0.042531559046922074		1	1	d2R<0
draw788	True	1	1	1	0	False	0.4172445957209829		1	1	d2R<0
draw820	True	3	3	2	1	True	0.1865994741554727	0.13831439846487575	3	3	d2R<0
draw848	True	1	1	1	0	False	0.2375591815946266		1	1	d2R<0
draw882	True	1	1	1	0	False	0.17865885658785866		1	1	d2R<0
draw927	True	1	1	1	0	False	0.004290520661529041		1	1	d2R<0
draw954	True	1	1	1	0	False	0.3019280724958861		0	1	d2R<0
draw992	True	1	1	1	0	False	0.19617270949112123		1	1	d2R<0
draw1030	True	1	1	1	0	False	0.06794033252782439		1	1	d2R<0
draw1060	True	1	1	1	0	False	0.40965665499209136		1	1	d2R<0
draw1083	True	1	1	1	0	False	0.29188856807022623		1	1	d2R<0
draw1115	True	1	1	1	0	False	0.0501982261667371		1	1	d2R<0
draw1138	True	1	1	1	0	False	0.08988022823790517		1	1	d2R<0
draw1185	True	1	1	1	0	False	0.35911127843327395		1	1	d2R<0
draw1218	True	1	1	1	0	False	0.21611874201015688		1	1	d2R<0
draw1242	True	1	1	1	0	False	0.05880127273561632		1	1	d2R<0
draw1271	True	1	1	1	0	False	0.22534526106362268		1	1	d2R<0
draw1299	True	1	1	1	0	False	0.060329996436701824		1	1	d2R<0
draw1327	True	3	3	2	1	True	0.2046195046960715	0.17527482473155476	3	3	d2R<0
draw1374	True	1	1	1	0	False	0.12693381614590507		1	1	d2R<0
draw1405	True	1	1	1	0	False	0.09081932823256465		1	1	d2R<0
draw1435	True	1	1	1	0	False	0.1571664567032979		1	1	d2R<0
