fate	j	sigma	omega	amp_late	amp_mid	growth	drift	u_eq	a_eq	t_end	n_blocks_run	n_blocks_budget	t_block	efolds	converged	u_min	u_max	a_amp_rel	a_mean_over_eq	u_mean_over_eq	n_peaks	period	period_cv	peak_cv	period_predicted	name	frac	j_over_jcrit
cycle	0.21481400032701173	0.09704086783752179	0.7673515939740978	1.7913213843495281	1.790963062720056	1.0002000720377382	0.0004865590041257216	1.4528008724327701	0.08859431851424938	2456.443183224173	3	8	818.8143944080576	238.3753782936383	True	1.2928457907330602	1.5304251505079962	2.048706634768306	1.1436845742296773	0.9765150232140223	47	8.394946279252395	0.011667684346387633	0.0005654405031333563	8.188143944080576	draw273	0.08	0.4582625281465922
cycle	0.2454271036662769	0.18234521806729448	0.7199104666872841	2.404581422311063	2.404572597158064	1.0000036701545254	0.0005302630448889958	1.4144457823879393	0.12834384368823826	2618.319470791451	3	8	872.7731569304835	477.4380348713102	True	1.096241628830813	1.5597507028263538	3.147075767949368	1.308783199749039	0.9459912592891326	46	9.16640975020755	0.0119575827673801	0.0007481992220103215	8.727731569304835	draw273	0.22000000000000003	0.5235694360264717
cycle	0.2760402070055421	0.20224307129778793	0.6906918220634869	2.5085507334260386	2.5066395060400297	1.0007624659953709	0.0007677429847108582	1.363963527655015	0.17789231882060497	2729.0834087516023	3	8	909.6944695838674	551.9382104137604	True	0.9556438949963186	1.585740221868709	3.468661968714004	1.3827354266727143	0.9310721338515886	47	9.326699988231667	0.0035587288766576247	0.0006854743117466073	9.096944695838674	draw273	0.36000000000000004	0.5888763439063511
cycle	0.30665331034480725	0.1861560328995629	0.672368484838671	2.426438483328523	2.4246710225402524	1.0007289486993658	0.00030690832434501737	1.3058847412136396	0.23857437304067047	2803.456192040522	3	8	934.4853973468407	521.8802831179787	True	0.8498738898840988	1.6102029084509992	3.429126608203334	1.4132345129555273	0.9258637119876533	47	9.580870540440173	0.00824039009831375	0.0006016797297999028	9.344853973468407	draw273	0.5	0.6541832517862305
cycle	0.3372664136840724	0.1497570288822626	0.6540317413616498	2.2651422097183707	2.2651440518137447	0.9999991867645801	0.0006087192164516151	1.2419429416118037	0.31277590715228737	2882.0552168148997	3	8	960.6850722716332	431.60802634482457	True	0.7647840139562676	1.6333894746162316	3.2342606867412735	1.4278400150175978	0.9253013706684735	46	9.849484361874715	0.01120638335449181	0.00048163581041260536	9.606850722716333	draw273	0.64	0.7194901596661099
cycle	0.3678795170233376	0.10047095854261759	0.6266135013755234	2.067408275117029	2.0674083435737742	0.9999999668876517	0.0007900395672198002	1.1715685440387806	0.40478339684056963	3008.1630670518225	3	8	1002.7210223506075	302.23302679919703	True	0.6928974680443841	1.6554726901467998	2.968641411475081	1.4359241216189078	0.9254961107068237	45	10.531203535565282	0.011758834122973837	0.0003902787293293499	10.027210223506074	draw273	0.78	0.7847970675459893
cycle	0.3984926203626028	0.040372310638185666	0.5810468943346064	1.8460300490032489	1.8453698731165484	1.0003577471900447	0.0010380307832289879	1.0916796461584959	0.5228896082876914	3244.0679238333387	3	8	1081.355974611113	130.9705179523736	True	0.6333502896071219	1.6686066381891271	2.623142794301426	1.4209642988843945	0.9257638150204807	42	12.438703383873758	0.009041322721617305	0.0002623234855904626	10.813559746111128	draw273	0.92	0.8501039754258688
cycle	0.3058725828687939	0.0069011546872746795	0.2676431952193145	1.3297987411677692	1.329804052389807	0.9999960060115411	0.0002107186981658741	0.7928587634910662	0.44736927490411055	9390.39051903556	4	8	2347.59762975889	64.80453754578197	True	0.42771856880168546	1.0536662290609464	1.2060241853943887	0.9069223394927511	1.0521389999230897	41	27.59116994215219	0.010733468218935534	0.0011187485852740908	23.4759762975889	draw455	0.08	1.0640945490665297
cycle	0.313888242584183	0.017166139036077045	0.310810562659758	1.4548927488917744	1.4555613204628257	0.9995406778390905	0.002127067069718861	0.7383569332935087	0.4976283671170561	6064.64457328409	3	8	2021.5481910946967	104.10653194938483	True	0.26626950356022583	1.0382087661523514	1.431233189838996	0.9837379359607088	1.0156863822491735	39	24.264644454249947	0.006407639444884793	0.0009581551094758202	20.215481910946966	draw455	0.22000000000000003	1.0919800814353346
cycle	0.32190390229957216	0.02551011084067625	0.3454571156248213	1.2416755996901034	1.2411818029363442	1.0003978440165584	0.00017314425632265794	0.6887506158867712	0.5431940946996493	5456.409802833544	3	8	1818.8032676111814	139.19361886243615	True	0.22597858778056254	0.9775623511095635	1.3311298809785321	1.0720431981676652	0.9553037264861965	39	22.285911506113507	0.008355951124503573	0.0005113407138002418	18.188032676111813	draw455	0.36000000000000004	1.1198656138041396
