name	ok	n_turns	j_crit	j_turn	ratio
nu=0.01,chi=0.1	True	1	0.2349982694294005	0.2320529352511321	0.9874665707733935
nu=0.01,chi=0.167	True	1	0.22631564830604398	0.22401495842836863	0.9898341546645323
nu=0.01,chi=0.233	True	1	0.21775902883544973	0.21607761164112774	0.9922785420043705
nu=0.01,chi=0.3	True	1	0.2093455102407629	0.20820982423296167	0.9945750639385812
nu=0.01,chi=0.367	True	1	0.2010924720605201	0.20038187072363225	0.9964662956817498
nu=0.01,chi=0.433	True	1	0.19301659304506433	0.19268400534178504	0.9982768957941267
nu=0.01,chi=0.5	True	1	0.18513258973879276	0.18498903862605404	0.9992246037667314
nu=0.01,chi=0.567	True	0	0.17745297285125572		
nu=0.01,chi=0.633	True	0	0.1699858614035403		
nu=0.01,chi=0.7	True	0	0.16273521384816916		
nu=0.01,chi=0.767	True	0	0.15570073257199177		
nu=0.01,chi=0.833	True	0	0.1488775565623132		
nu=0.01,chi=0.9	True	0	0.14225745185744396		
nu=0.01373,chi=0.1	True	1	0.2349745828006533	0.2320272210008352	0.9874566782300936
nu=0.01373,chi=0.167	True	1	0.2262747222964304	0.22397078501509063	0.9898179643843669
nu=0.01373,chi=0.233	True	1	0.21769960202706592	0.21601428009341342	0.9922584978660505
nu=0.01373,chi=0.3	True	1	0.2092663197036227	0.20812908696478405	0.9945656198262135
nu=0.01373,chi=0.367	True	1	0.20099169876979847	0.20027664373102305	0.9964423653158213
nu=0.01373,chi=0.433	True	1	0.19289269375578988	0.19255675760693405	0.9982584298953223
nu=0.01373,chi=0.5	True	1	0.1849840227177034	0.1848377945589824	0.9992095092507305
nu=0.01373,chi=0.567	True	0	0.17727787717285218		
nu=0.01373,chi=0.633	True	0	0.1697826884813509		
nu=0.01373,chi=0.7	True	0	0.16250248044239365		
nu=0.01373,chi=0.767	True	0	0.15543704740897976		
nu=0.01373,chi=0.833	True	0	0.14858172918960408		
nu=0.01373,chi=0.9	True	0	0.14192839102737612		
nu=0.01884,chi=0.1	True	1	0.23494220640259472	0.2319921766891746	0.9874435940711096
nu=0.01884,chi=0.167	True	1	0.22621879942705655	0.22391048524676843	0.9897960992360741
nu=0.01884,chi=0.233	True	1	0.21761845079571482	0.21592713751498702	0.992228079583585
nu=0.01884,chi=0.3	True	1	0.2091578392585535	0.20801288299261195	0.9945258744783351
nu=0.01884,chi=0.367	True	1	0.20085406403891543	0.20013274624977334	0.996408746855118
nu=0.01884,chi=0.433	True	1	0.1927235235722825	0.19238552019232136	0.9982461747601123
nu=0.01884,chi=0.5	True	1	0.18478093440297183	0.18463140560620006	0.9991907780028557
nu=0.01884,chi=0.567	True	0	0.1770386954843258		
nu=0.01884,chi=0.633	True	0	0.16950521632631954		
nu=0.01884,chi=0.7	True	0	0.1621846297039685		
nu=0.01884,chi=0.767	True	0	0.15507693561737396		
nu=0.01884,chi=0.833	True	0	0.1481777690752186		
nu=0.01884,chi=0.9	True	0	0.14147909452493174		
nu=0.02586,chi=0.1	True	1	0.23489805676895525	0.2319450307860538	0.9874284784492448
nu=0.02586,chi=0.167	True	1	0.22614255371068634	0.2238284109487045	0.9897668849846702
nu=0.02586,chi=0.233	True	1	0.21750772631765708	0.2158079877677542	0.9921853877162022
nu=0.02586,chi=0.3	True	1	0.20900997302514154	0.20785766126746336	0.9944868096914228
nu=0.02586,chi=0.367	True	1	0.20066625289893786	0.1999366282005949	0.9963639890225567
nu=0.02586,chi=0.433	True	1	0.19249268405926268	0.19214783276069702	0.9982084965968915
nu=0.02586,chi=0.5	True	1	0.18450412320809273	0.18434990557278289	0.99916415073751
nu=0.02586,chi=0.567	True	0	0.17671270998915023		
nu=0.02586,chi=0.633	True	0	0.16912695013862164		
nu=0.02586,chi=0.7	True	0	0.16175150351053003		
nu=0.02586,chi=0.767	True	0	0.1545862709007351		
nu=0.02586,chi=0.833	True	0	0.14762738333966705		
nu=0.02586,chi=0.9	True	0	0.14086710288786572		
nu=0.0355,chi=0.1	True	1	0.23483778901515945	0.23187947160581393	0.9874027198869831
nu=0.0355,chi=0.167	True	1	0.2260386948734612	0.2237170017811921	0.9897287803153845
nu=0.0355,chi=0.233	True	1	0.2173569167754682	0.2156456880970518	0.9921271027220905
nu=0.0355,chi=0.3	True	1	0.20880870675888086	0.20764693737960246	0.9944362024107551
nu=0.0355,chi=0.367	True	1	0.20041060549652207	0.19966979461673184	0.996303534546214
nu=0.0355,chi=0.433	True	1	0.19217873110903255	0.19182209629693683	0.9981442545174607
nu=0.0355,chi=0.5	True	1	0.18412765998287672	0.18396712768383092	0.9991281467485074
nu=0.0355,chi=0.567	True	0	0.17626936574763302		
nu=0.0355,chi=0.633	True	0	0.16861287319528054		
nu=0.0355,chi=0.7	True	0	0.16116272569137566		
nu=0.0355,chi=0.767	True	0	0.15391941925789182		
nu=0.0355,chi=0.833	True	0	0.14687938253832478		
nu=0.0355,chi=0.9	True	0	0.14003547281927395		
nu=0.04872,chi=0.1	True	1	0.2347559369959455	0.23179118535479243	0.9873709194361961
nu=0.04872,chi=0.167	True	1	0.22589741812581568	0.22356436663456242	0.9896720754464141
nu=0.04872,chi=0.233	True	1	0.21715200641239818	0.21542689817061406	0.9920557572997601
nu=0.04872,chi=0.3	True	1	0.2085353995030099	0.20735910403569074	0.9943592528169196
nu=0.04872,chi=0.367	True	1	0.20006385567559964	0.1993076495927384	0.9962201764016413
nu=0.04872,chi=0.433	True	1	0.19175293242018882	0.19138014165828715	0.9980558797344242
nu=0.04872,chi=0.5	True	1	0.1836172061234477	0.1834480364470157	0.9990786828750773
